regions	index
Amygdala_L	1
Amygdala_R	2
Cerebellum_L	3
Cerebellum_R	4
Dorsal_striatum_L	5
Dorsal_striatum_R	6
Fusiform_gyrus_L	7
Fusiform_gyrus_R	8
Hippocampus_L	9
Hippocampus_R	10
Insula_L	11
Insula_R	12
Intracalcarine_cortex_L	13
Intracalcarine_cortex_R	14
lOFC_R	15
lOFC_R	16
mOFC_L	17
mOFC_R	18
Oral_somatosensory_cortex_R	19
Oral_somatosensory_cortex_L	20
Precuneus_L	21
Precuneus_R	22
Ventral_striatum_L	23
Ventral_striatum_R	24
vlPFC_L	25
vlPFC_R	26
vlThalamus_L	27
vlThalamus_R	28
vmPFC_L	29
vmPFC_R	30
