	Amygdala_L	Amygdala_R	Cerebellum_L	Cerebellum_R	Dorsal_striatum_L	Dorsal_striatum_R	Fusiform_gyrus_L	Fusiform_gyrus_R	Hippocampus_L	Hippocampus_R	Insula_L	Insula_R	Intracalcarine_cortex_L	Intracalcarine_cortex_R	lOFC_R	lOFC_R	mOFC_L	mOFC_R	Oral_somatosensory_cortex_R	Oral_somatosensory_cortex_L	Precuneus_L	Precuneus_R	Ventral_striatum_L	Ventral_striatum_R	vlPFC_L	vlPFC_R	vlThalamus_L	vlThalamus_R	vmPFC_L	vmPFC_R
Amygdala_L	n/a	-inf	n/a	inf	n/a	inf	inf	-inf	-inf	n/a	inf	inf	-inf	inf	inf	-inf	inf	-inf	inf	n/a	inf	inf	n/a	-inf	inf	inf	inf	inf	-15.829253313553506	n/a
Amygdala_R	-inf	n/a	inf	-inf	-inf	n/a	n/a	inf	n/a	n/a	-inf	-inf	n/a	n/a	n/a	n/a	n/a	inf	n/a	inf	n/a	n/a	n/a	inf	n/a	-inf	n/a	n/a	15.830813377221627	inf
Cerebellum_L	n/a	inf	n/a	-inf	-18.714973875118524	-inf	-inf	inf	inf	inf	-18.714973875118524	-inf	inf	-inf	-inf	inf	-inf	inf	-inf	n/a	-inf	-inf	inf	inf	-inf	-18.714973875118524	-inf	-inf	15.806418295136911	n/a
Cerebellum_R	inf	-inf	-inf	n/a	inf	n/a	inf	-inf	-inf	n/a	n/a	inf	n/a	n/a	n/a	n/a	n/a	-inf	n/a	-inf	n/a	inf	n/a	-inf	n/a	inf	inf	n/a	-15.838687555705699	-inf
Dorsal_striatum_L	n/a	-inf	-18.714973875118524	inf	n/a	inf	inf	-inf	-inf	n/a	inf	inf	-inf	inf	inf	-inf	inf	-inf	inf	n/a	inf	inf	n/a	-inf	inf	inf	inf	inf	-15.830813377221627	n/a
Dorsal_striatum_R	inf	n/a	-inf	n/a	inf	n/a	n/a	-inf	n/a	n/a	inf	inf	n/a	n/a	n/a	n/a	n/a	n/a	inf	-inf	n/a	n/a	n/a	-inf	n/a	inf	n/a	n/a	-15.826147713507185	-inf
Fusiform_gyrus_L	inf	n/a	-inf	inf	inf	n/a	n/a	-inf	-inf	n/a	inf	inf	n/a	n/a	n/a	n/a	n/a	n/a	inf	-inf	n/a	n/a	n/a	-inf	n/a	18.36840028483855	n/a	n/a	-15.819993789669887	-inf
Fusiform_gyrus_R	-inf	inf	inf	-inf	-inf	-inf	-inf	n/a	inf	n/a	-inf	-inf	inf	-inf	-inf	inf	-inf	inf	-inf	inf	-inf	-inf	inf	inf	-inf	-inf	-inf	-inf	15.841872279848438	inf
Hippocampus_L	-inf	n/a	inf	-inf	-inf	n/a	-inf	inf	n/a	inf	-inf	-inf	inf	-inf	n/a	n/a	-inf	inf	-inf	inf	n/a	-inf	inf	inf	-inf	-inf	-inf	n/a	15.830813377221627	inf
Hippocampus_R	n/a	n/a	inf	n/a	n/a	n/a	n/a	n/a	inf	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-inf	n/a	n/a	15.823061283953646	inf
Insula_L	inf	-inf	-18.36840028483855	n/a	inf	inf	inf	-inf	-inf	n/a	n/a	inf	n/a	inf	n/a	n/a	n/a	-18.36840028483855	n/a	-inf	inf	inf	-inf	-inf	inf	inf	inf	n/a	-15.863082637790415	-18.36840028483855
