	cope1	cope10	cope11	cope12	cope13	cope14	cope15	cope16	cope17	cope18	cope19	cope2	cope20	cope21	cope22	cope23	cope3	cope4	cope5	cope6	cope7	cope8	cope9
sub-001	-5.149089 5.400637 	-4.510490 4.929140 	-4.621045 3.823775 	-5.049824 5.417955 	-4.844965 5.470177 	-5.470177 4.844965 	-7.269985 5.062478 	-5.062478 7.269916 	-5.703035 5.045375 	-3.916097 5.930358 	-6.710282 4.420660 	-5.400637 5.149089 	-4.420660 6.710280 	-4.974420 5.236734 	-5.236734 4.974420 	-5.257060 4.422542 	-5.546316 5.001424 	-5.001424 5.546316 	-4.815015 5.144981 	-4.704127 4.693715 	-4.573304 5.131107 	-5.131107 4.573304 	-4.929140 4.510490 
sub-002	-4.627014 4.598331 	-4.823052 4.452289 	-6.532806 5.661823 	-6.651571 5.299552 	-7.799837 6.376823 	-6.376823 7.799837 	-5.277029 5.446514 	-5.446514 5.277029 	-6.017691 8.069314 	-5.067532 6.222901 	-6.367537 6.872022 	-4.598331 4.627014 	-6.872013 6.367537 	-11.021873 7.518949 	-7.518949 11.021873 	-8.179813 7.908150 	0.000000 0.000000 	0.000000 0.000000 	-6.433298 6.086695 	-6.722400 7.558539 	-6.626678 7.793071 	-7.793071 6.626678 	-4.452289 4.823052 
sub-003	-5.421859 7.118972 	-5.682829 5.446904 	-10.391096 9.563452 	-6.904866 5.664588 	-8.455349 6.262292 	-6.262292 8.455349 	-4.850310 4.892520 	-4.892520 4.850310 	-4.526897 5.060896 	0.000000 0.000000 	-5.168696 5.246500 	-7.119060 5.421859 	-5.246500 5.168696 	-7.067524 4.884535 	-4.884535 7.067547 	-4.625580 4.654994 	-5.811203 7.941285 	-7.941285 5.811203 	-7.561533 6.108395 	-7.495983 5.405548 	-6.880083 7.225046 	-7.224934 6.880102 	-5.446904 5.682829 
sub-004	-8.833944 5.623909 	-5.795523 4.151964 	-7.338194 8.384481 	-5.646645 4.260946 	-7.283653 5.573559 	-5.573559 7.283765 	-4.667728 5.152958 	-5.152958 4.667728 	-7.433256 6.379904 	-5.503895 5.503123 	-5.762137 5.095201 	-5.623909 8.833944 	-5.095201 5.762137 	-6.633983 4.872158 	-4.872158 6.633975 	-5.406233 6.653097 	-7.126720 6.445814 	-6.445815 7.126756 	-6.688675 10.279569 	-5.774366 7.662568 	-6.225459 5.732070 	-5.732070 6.225459 	-4.151964 5.795523 
sub-005	-9.408529 6.345373 	-4.935070 10.571926 	-4.649796 8.081814 	-4.667770 5.691463 	-7.600784 4.283872 	-4.283872 7.600784 	-5.320257 5.388280 	-5.388280 5.320257 	-4.277063 6.016151 	-5.593900 6.020192 	-6.561638 5.748898 	-6.345372 9.408529 	-5.748898 6.561637 	-6.051173 4.691402 	-4.691402 6.051173 	-4.337674 6.438028 	-5.497678 6.257793 	-6.257794 5.497678 	-5.020307 5.528230 	-6.014785 5.656413 	-3.985212 4.653278 	-4.653278 3.985212 	-10.571926 4.935070 
sub-006	-5.091512 4.340902 	-6.069418 6.988711 	-6.346590 5.975044 	-8.722560 7.345072 	-5.271771 5.197337 	-5.197337 5.271771 	-6.805979 6.618825 	-6.618828 6.805983 	-5.539209 4.962865 	-5.298403 4.068316 	0.000000 0.000000 	-4.340902 5.091512 	0.000000 0.000000 	-4.931828 5.756308 	-5.756308 4.931828 	-4.892634 4.094223 	-9.784951 6.558274 	-6.558277 9.784951 	-4.399860 5.634648 	-8.193857 10.629692 	-4.816525 5.954001 	-5.954001 4.816525 	-6.988664 6.069418 
sub-007	-5.458021 4.755924 	-9.089019 6.558852 	-4.735497 4.328667 	-8.556703 7.334239 	-6.658363 5.647644 	-5.647644 6.658362 	-6.808957 6.424695 	-6.424693 6.808958 	-5.346289 5.726072 	-4.912338 4.223058 	-6.084929 7.911036 	-4.755924 5.458021 	-7.911036 6.084929 	-4.713787 5.259603 	-5.259603 4.713787 	-5.026187 5.324253 	-6.240588 5.420269 	-5.420269 6.240588 	-5.985791 5.566908 	-5.265427 6.423939 	-5.069873 4.806026 	-4.806026 5.069873 	-6.558852 9.089019 
sub-009	-8.218490 5.295437 	-4.520276 4.880140 	-5.388493 4.485626 	-4.371646 4.743809 	-5.432906 5.444079 	-5.444079 5.432906 	-5.100761 4.790887 	-4.790887 5.100761 	-6.410745 5.721806 	-4.838206 5.521229 	-4.687622 4.692862 	-5.295437 8.218490 	-4.692862 4.687622 	-5.930736 6.308791 	-6.308792 5.930736 	-6.905706 7.032244 	-5.524319 6.623970 	-6.623975 5.524319 	-5.785822 4.998644 	-4.407309 5.616318 	-4.959410 5.294139 	-5.294139 4.959410 	-4.880140 4.520276 
sub-010	-4.845472 4.402011 	-5.354808 4.574799 	-8.401571 11.200508 	-6.353589 6.019657 	-5.287148 4.810730 	-4.810730 5.287148 	-4.158020 5.184705 	-5.184705 4.158020 	-5.712687 4.393424 	-5.444963 7.321057 	-4.940590 4.727283 	-4.402011 4.845472 	-4.727283 4.940590 	-5.053718 5.613065 	-5.613065 5.053718 	-4.886110 4.962328 	-6.417340 5.806009 	-5.806009 6.417340 	-4.869264 4.961380 	-5.945576 7.808729 	-9.900873 7.058060 	-7.057883 9.900873 	-4.574799 5.354808 
sub-011	-6.447168 6.170150 	-6.103014 5.696252 	-5.964112 7.673320 	-5.725454 4.804302 	-5.412613 5.524557 	-5.524557 5.412613 	-4.826114 9.433506 	-9.433506 4.826114 	-6.848580 4.965400 	-5.855750 5.679542 	-4.717148 5.080884 	-6.170150 6.447169 	-5.080884 4.717148 	-4.547683 4.953375 	-4.953375 4.547683 	-5.886939 4.984252 	-5.425404 6.181771 	-6.181771 5.425404 	-5.382634 4.996613 	-6.649562 7.177948 	-4.610669 6.313554 	-6.313553 4.610669 	-5.696252 6.103014 
